num	date	subjStartTime	trialNum	facingDir	stimName	background	inView	imagAdj	rt
5	2021-11-22	23:32:51	7	left	averted_gaze/YC_L2_small.png	background/sea_adjusted.png	true	260	1.936
5	2021-11-22	23:32:51	8	right	averted_gaze/YC_R2_small.png	background/grassfield_adjusted.png	true	-233	6.359
5	2021-11-22	23:32:51	9	right	averted_gaze/CC_R2_small.png	background/grassfield_adjusted.png	true	-260	1.968
5	2021-11-22	23:32:51	10	left	chair/Chair_L_small.png	background/grassfield_adjusted.png	true	178	2.421
5	2021-11-22	23:32:51	11	left	averted_gaze/CC_L2_small.png	background/sea_adjusted.png	true	260	4.52
5	2021-11-22	23:32:51	12	right	chair/Chair_Black_R.png	background/grassfield_adjusted.png	true	-260	1.785
5	2021-11-22	23:32:51	13	left	averted_gaze/YC_L2_small.png	background/grassfield_adjusted.png	true	260	4.136
5	2021-11-22	23:32:51	14	right	chair/Chair_R_small.png	background/grassfield_adjusted.png	true	-260	1.71
5	2021-11-22	23:32:51	15	left	chair/Chair_Black_L.png	background/grassfield_adjusted.png	true	260	4.095
5	2021-11-22	23:32:51	16	right	averted_gaze/CC_R2_small.png	background/sea_adjusted.png	true	-247	1.909
num	date	subjStartTime	trialNum	facingDir	stimName	background	inView	imagAdj	rt
4	2021-11-22	23:32:30	1	right	chair/Chair_R_small.png	background/sea_adjusted.png	true	-239	9.345
4	2021-11-22	23:32:30	2	right	averted_gaze/YC_R2_small.png	background/grassfield_adjusted.png	true	248	3.745
4	2021-11-22	23:32:30	3	left	averted_gaze/YC_L2_small.png	background/sea_adjusted.png	true	-260	7.808
4	2021-11-22	23:32:30	4	right	chair/Chair_Black_R.png	background/sea_adjusted.png	true	-260	3.713
4	2021-11-22	23:32:30	5	right	chair/Chair_R_small.png	background/grassfield_adjusted.png	true	-248	5.412
4	2021-11-22	23:32:30	6	left	averted_gaze/YC_L2_small.png	background/grassfield_adjusted.png	true	260	2.616
4	2021-11-22	23:32:30	7	left	chair/Chair_Black_L.png	background/grassfield_adjusted.png	true	260	5.428
4	2021-11-22	23:32:30	8	right	chair/Chair_Black_R.png	background/grassfield_adjusted.png	true	-260	1.885
4	2021-11-22	23:32:30	9	left	chair/Chair_L_small.png	background/grassfield_adjusted.png	true	260	8.513
4	2021-11-22	23:32:30	10	right	averted_gaze/CC_R2_small.png	background/grassfield_adjusted.png	true	-165	4.613
4	2021-11-22	23:32:30	11	right	averted_gaze/YC_R2_small.png	background/sea_adjusted.png	true	-260	6.901
4	2021-11-22	23:32:30	12	left	chair/Chair_L_small.png	background/sea_adjusted.png	true	259	2.2
4	2021-11-22	23:32:30	13	left	averted_gaze/CC_L2_small.png	background/sea_adjusted.png	true	251	3.189
4	2021-11-22	23:32:30	14	right	averted_gaze/CC_R2_small.png	background/sea_adjusted.png	true	-238	1.674
4	2021-11-22	23:32:30	15	left	averted_gaze/CC_L2_small.png	background/grassfield_adjusted.png	true	236	2.015
